id: 0x420001c5, name: OFO003_DEFAULT.PNX, group: 0x1000005f, partId: 0x74000007
id: 0x42000235, name: UPPERF005A_INVENTORY.PNX, group: 0x10000042, partId: 0x70000205
id: 0x42000236, name: UPPERF005B_INVENTORY.PNX, group: 0x10000393, partId: 0x70000205
id: 0x42000237, name: UPPERF005C_INVENTORY.PNX, group: 0x10000394, partId: 0x70000205
id: 0x42000238, name: UPPERF006A_INVENTORY.PNX, group: 0x10000043, partId: 0x70000205
id: 0x42000239, name: UPPERF006B_INVENTORY.PNX, group: 0x10000395, partId: 0x70000205
id: 0x4200023a, name: UPPERF006C_INVENTORY.PNX, group: 0x10000396, partId: 0x70000205
id: 0x4200023b, name: UPPERF007A_INVENTORY.PNX, group: 0x10000044, partId: 0x70000205
id: 0x4200023c, name: UPPERF007B_INVENTORY.PNX, group: 0x10000397, partId: 0x70000205
id: 0x4200023d, name: UPPERF008A_INVENTORY.PNX, group: 0x10000045, partId: 0x70000205
id: 0x4200023e, name: UPPERF008B_INVENTORY.PNX, group: 0x10000398, partId: 0x70000205
id: 0x4200023f, name: UPPERF008C_INVENTORY.PNX, group: 0x10000399, partId: 0x70000205
id: 0x42000240, name: UPPERF009A_INVENTORY.PNX, group: 0x10000046, partId: 0x70000205
id: 0x42000241, name: UPPERF009B_INVENTORY.PNX, group: 0x1000039a, partId: 0x70000205
id: 0x42000242, name: UPPERF009C_INVENTORY.PNX, group: 0x1000039b, partId: 0x70000205
id: 0x42000243, name: UPPERF010A_INVENTORY.PNX, group: 0x10000047, partId: 0x70000205
id: 0x42000244, name: UPPERF010B_INVENTORY.PNX, group: 0x1000039c, partId: 0x70000205
id: 0x42000245, name: UPPERF010C_INVENTORY.PNX, group: 0x1000039d, partId: 0x70000205
id: 0x42000246, name: UPPERF011A_INVENTORY.PNX, group: 0x10000048, partId: 0x70000205
id: 0x42000247, name: UPPERF011B_INVENTORY.PNX, group: 0x1000039e, partId: 0x70000205
id: 0x42000248, name: UPPERF012A_INVENTORY.PNX, group: 0x10000049, partId: 0x70000205
id: 0x42000249, name: UPPERF012B_INVENTORY.PNX, group: 0x1000039f, partId: 0x70000205
id: 0x4200024a, name: UPPERF013A_INVENTORY.PNX, group: 0x1000004a, partId: 0x70000205
id: 0x4200024b, name: UPPERF013B_INVENTORY.PNX, group: 0x100003a0, partId: 0x70000205
id: 0x4200024c, name: UPPERF014A_INVENTORY.PNX, group: 0x1000004b, partId: 0x70000205
id: 0x4200024d, name: UPPERF014B_INVENTORY.PNX, group: 0x100003a1, partId: 0x70000205
id: 0x4200024e, name: UPPERF015A_INVENTORY.PNX, group: 0x1000004c, partId: 0x70000205
id: 0x4200024f, name: UPPERF015B_INVENTORY.PNX, group: 0x100003a2, partId: 0x70000205
id: 0x42000250, name: UPPERM001A_INVENTORY.PNX, group: 0x100000c0, partId: 0x70000205
id: 0x42000251, name: UPPERM001B_INVENTORY.PNX, group: 0x100003a3, partId: 0x70000205
id: 0x42000252, name: UPPERM001C_INVENTORY.PNX, group: 0x100003a4, partId: 0x70000205
id: 0x42000253, name: UPPERM002A_INVENTORY.PNX, group: 0x100000c1, partId: 0x70000205
id: 0x42000254, name: UPPERM002B_INVENTORY.PNX, group: 0x100003a5, partId: 0x70000205
id: 0x42000255, name: UPPERM002C_INVENTORY.PNX, group: 0x100003a6, partId: 0x70000205
id: 0x42000256, name: UPPERM003A_INVENTORY.PNX, group: 0x100000c2, partId: 0x70000205
id: 0x42000257, name: UPPERM003B_INVENTORY.PNX, group: 0x100003a7, partId: 0x70000205
id: 0x42000258, name: UPPERM003C_INVENTORY.PNX, group: 0x100003a8, partId: 0x70000205
id: 0x42000259, name: UPPERM004A_INVENTORY.PNX, group: 0x100000c3, partId: 0x70000205
id: 0x4200025a, name: UPPERM004B_INVENTORY.PNX, group: 0x100003a9, partId: 0x70000205
id: 0x4200025b, name: UPPERM004C_INVENTORY.PNX, group: 0x100003aa, partId: 0x70000205
id: 0x4200025c, name: UPPERM005A_INVENTORY.PNX, group: 0x100000c4, partId: 0x70000205
id: 0x4200025d, name: UPPERM005B_INVENTORY.PNX, group: 0x100003ab, partId: 0x70000205
id: 0x4200025e, name: UPPERM005C_INVENTORY.PNX, group: 0x100003ac, partId: 0x70000205
id: 0x4200025f, name: UPPERM006A_INVENTORY.PNX, group: 0x100000c5, partId: 0x70000205
id: 0x42000260, name: UPPERM006B_INVENTORY.PNX, group: 0x100003ad, partId: 0x70000205
id: 0x42000261, name: UPPERM006C_INVENTORY.PNX, group: 0x100003ae, partId: 0x70000205
id: 0x42000262, name: UPPERM007A_INVENTORY.PNX, group: 0x100000c6, partId: 0x70000205
id: 0x42000263, name: UPPERM007B_INVENTORY.PNX, group: 0x100003af, partId: 0x70000205
id: 0x42000264, name: UPPERM007C_INVENTORY.PNX, group: 0x100003b0, partId: 0x70000205
id: 0x42000265, name: UPPERM008A_INVENTORY.PNX, group: 0x100000c7, partId: 0x70000205
id: 0x42000266, name: UPPERM008B_INVENTORY.PNX, group: 0x100003b1, partId: 0x70000205
id: 0x42000267, name: UPPERM008C_INVENTORY.PNX, group: 0x100003b2, partId: 0x70000205
id: 0x42000268, name: UPPERM009A_INVENTORY.PNX, group: 0x100000c8, partId: 0x70000205
id: 0x42000269, name: UPPERM009B_INVENTORY.PNX, group: 0x100003b3, partId: 0x70000205
id: 0x4200026a, name: UPPERM010A_INVENTORY.PNX, group: 0x100000c9, partId: 0x70000205
id: 0x4200026b, name: UPPERM010B_INVENTORY.PNX, group: 0x100003b4, partId: 0x70000205
id: 0x4200026c, name: UPPERM011A_INVENTORY.PNX, group: 0x100000ca, partId: 0x70000205
id: 0x4200026d, name: UPPERM011B_INVENTORY.PNX, group: 0x100003b5, partId: 0x70000205
id: 0x4200026e, name: UPPERM012A_INVENTORY.PNX, group: 0x100000cb, partId: 0x70000205
id: 0x4200026f, name: UPPERM012B_INVENTORY.PNX, group: 0x100003b6, partId: 0x70000205
id: 0x42000270, name: UPPERM013A_INVENTORY.PNX, group: 0x100000cc, partId: 0x70000205
id: 0x42000271, name: UPPERM013B_INVENTORY.PNX, group: 0x100003b7, partId: 0x70000205
id: 0x42000272, name: UPPERM014A_INVENTORY.PNX, group: 0x100000cd, partId: 0x70000205
id: 0x42000273, name: UPPERM014B_INVENTORY.PNX, group: 0x100003b8, partId: 0x70000205
id: 0x42000274, name: UPPERM015A_INVENTORY.PNX, group: 0x100000ce, partId: 0x70000205
id: 0x42000275, name: UPPERM015B_INVENTORY.PNX, group: 0x100003b9, partId: 0x70000205
id: 0x4200027c, name: OPT054_01_DEFAULT.PNX, group: 0x100003d2, partId: 0x74000007
id: 0x4200027d, name: OPT054_02_DEFAULT.PNX, group: 0x100003d3, partId: 0x74000007
id: 0x4200027e, name: OPT054_03_DEFAULT.PNX, group: 0x100003d4, partId: 0x74000007
id: 0x4200027f, name: OPT054_04_DEFAULT.PNX, group: 0x100003d5, partId: 0x74000007
id: 0x42000280, name: OPT054_05_DEFAULT.PNX, group: 0x100003d6, partId: 0x74000007
id: 0x42000281, name: OPT054_06_DEFAULT.PNX, group: 0x100003d7, partId: 0x74000007
id: 0x42000296, name: OEC001_INVENTORY.PNX, group: 0x100000cf, partId: 0x70000205
id: 0x42000297, name: OEC002_INVENTORY.PNX, group: 0x100000d0, partId: 0x70000205
id: 0x42000298, name: OEC003_INVENTORY.PNX, group: 0x100000d1, partId: 0x70000205
id: 0x42000299, name: OEC004_INVENTORY.PNX, group: 0x100000d2, partId: 0x70000205
id: 0x4200029a, name: OEC005_INVENTORY.PNX, group: 0x100000d3, partId: 0x70000205
id: 0x4200029b, name: OEW001_INVENTORY.PNX, group: 0x100000d4, partId: 0x70000205
id: 0x4200029c, name: OEW002_INVENTORY.PNX, group: 0x100000d5, partId: 0x70000205
id: 0x4200029d, name: OEW003_INVENTORY.PNX, group: 0x100000d6, partId: 0x70000205
id: 0x4200029e, name: OEW004_INVENTORY.PNX, group: 0x100000d7, partId: 0x70000205
id: 0x4200029f, name: OEW005_INVENTORY.PNX, group: 0x100000d8, partId: 0x70000205
id: 0x420002a0, name: OEW006_INVENTORY.PNX, group: 0x100000d9, partId: 0x70000205
id: 0x420002a1, name: OICB001_INVENTORY.PNX, group: 0x100000da, partId: 0x70000205
id: 0x420002a2, name: OICB002_INVENTORY.PNX, group: 0x100000db, partId: 0x70000205
id: 0x420002a3, name: OICB003_INVENTORY.PNX, group: 0x100000dc, partId: 0x70000205
id: 0x420002a4, name: OICB004_INVENTORY.PNX, group: 0x100000dd, partId: 0x70000205
id: 0x420002a5, name: OICB005_INVENTORY.PNX, group: 0x100000de, partId: 0x70000205
id: 0x420002a6, name: OICB006_INVENTORY.PNX, group: 0x100000df, partId: 0x70000205
id: 0x420002a7, name: OICB007_INVENTORY.PNX, group: 0x100000e0, partId: 0x70000205
id: 0x420002a8, name: OICB008_INVENTORY.PNX, group: 0x100000e1, partId: 0x70000205
id: 0x420002a9, name: OICB009_INVENTORY.PNX, group: 0x100000e2, partId: 0x70000205
id: 0x420002aa, name: OICB010_INVENTORY.PNX, group: 0x100000e3, partId: 0x70000205
id: 0x420002ab, name: OICB011_INVENTORY.PNX, group: 0x100000e4, partId: 0x70000205
id: 0x420002ac, name: OICB012_INVENTORY.PNX, group: 0x100000e5, partId: 0x70000205
id: 0x420002ad, name: OICB013_INVENTORY.PNX, group: 0x100000e6, partId: 0x70000205
id: 0x420002ae, name: OICB014_INVENTORY.PNX, group: 0x100000e7, partId: 0x70000205
id: 0x420002af, name: OICB015_INVENTORY.PNX, group: 0x100000e8, partId: 0x70000205
id: 0x420002b0, name: OICB016_INVENTORY.PNX, group: 0x100000e9, partId: 0x70000205
id: 0x420002b1, name: OICB017_INVENTORY.PNX, group: 0x100000ea, partId: 0x70000205
id: 0x420002b2, name: OICB018_INVENTORY.PNX, group: 0x100000eb, partId: 0x70000205
id: 0x420002b3, name: OICB019_INVENTORY.PNX, group: 0x100000ec, partId: 0x70000205
id: 0x420002b4, name: OICB020_INVENTORY.PNX, group: 0x100000ed, partId: 0x70000205
id: 0x420002b5, name: OICB021_INVENTORY.PNX, group: 0x100000ee, partId: 0x70000205
id: 0x420002b6, name: OICB022_INVENTORY.PNX, group: 0x100000ef, partId: 0x70000205
id: 0x420002b7, name: OICB023_INVENTORY.PNX, group: 0x100000f0, partId: 0x70000205
id: 0x420002b8, name: OICB024_INVENTORY.PNX, group: 0x100000f1, partId: 0x70000205
id: 0x420002b9, name: OICB025_INVENTORY.PNX, group: 0x100000f2, partId: 0x70000205
id: 0x420002ba, name: OICB026_INVENTORY.PNX, group: 0x100000f3, partId: 0x70000205
id: 0x420002bb, name: OICB027_INVENTORY.PNX, group: 0x100000f4, partId: 0x70000205
id: 0x420002bc, name: OICB028_INVENTORY.PNX, group: 0x100000f5, partId: 0x70000205
id: 0x420002bd, name: OICB029_INVENTORY.PNX, group: 0x100000f6, partId: 0x70000205
id: 0x420002be, name: OICB030_INVENTORY.PNX, group: 0x100000f7, partId: 0x70000205
id: 0x420002bf, name: OICB036_INVENTORY.PNX, group: 0x100002b1, partId: 0x70000205
id: 0x420002c0, name: OICB037_INVENTORY.PNX, group: 0x100002b2, partId: 0x70000205
id: 0x420002c1, name: OICB038_INVENTORY.PNX, group: 0x100002b3, partId: 0x70000205
id: 0x420002c2, name: OICB039_INVENTORY.PNX, group: 0x100002b4, partId: 0x70000205
id: 0x420002c3, name: OICB040_INVENTORY.PNX, group: 0x100002b5, partId: 0x70000205
id: 0x420002c5, name: OICB041_INVENTORY.PNX, group: 0x100002b6, partId: 0x70000205
id: 0x420002c6, name: OICB042_INVENTORY.PNX, group: 0x100002b7, partId: 0x70000205
id: 0x420002c7, name: OICB043_INVENTORY.PNX, group: 0x100002b8, partId: 0x70000205
id: 0x420002c8, name: OICB044_INVENTORY.PNX, group: 0x100002b9, partId: 0x70000205
id: 0x420002c9, name: OICB045_INVENTORY.PNX, group: 0x100002ba, partId: 0x70000205
id: 0x420002ca, name: OICB046_INVENTORY.PNX, group: 0x100002bb, partId: 0x70000205
id: 0x420002cb, name: OICB047_INVENTORY.PNX, group: 0x100002bc, partId: 0x70000205
id: 0x420002cc, name: OICB048_INVENTORY.PNX, group: 0x100002bd, partId: 0x70000205
id: 0x420002cd, name: OICB049_INVENTORY.PNX, group: 0x100002be, partId: 0x70000205
id: 0x420002cf, name: OICB050_INVENTORY.PNX, group: 0x100001df, partId: 0x70000205
id: 0x420002d1, name: OICB051_INVENTORY.PNX, group: 0x100001e0, partId: 0x70000205
id: 0x420002d3, name: OBO008_DEFAULT.PNX, group: 0x10000057, partId: 0x74000007
id: 0x420002d4, name: OICB052_INVENTORY.PNX, group: 0x100001e1, partId: 0x70000205
id: 0x420002d6, name: OICB053_INVENTORY.PNX, group: 0x100001e2, partId: 0x70000205
id: 0x420002d8, name: OICB054_INVENTORY.PNX, group: 0x100001e3, partId: 0x70000205
id: 0x420002da, name: OICB055_INVENTORY.PNX, group: 0x100001e4, partId: 0x70000205
id: 0x420002dc, name: OICB059_INVENTORY.PNX, group: 0x100001e5, partId: 0x70000205
id: 0x420002de, name: OICB060_INVENTORY.PNX, group: 0x100001e6, partId: 0x70000205
id: 0x420002e0, name: OICB061_INVENTORY.PNX, group: 0x100001e7, partId: 0x70000205
id: 0x420002e2, name: OICB062_INVENTORY.PNX, group: 0x100001e8, partId: 0x70000205
id: 0x420002e4, name: OICB063_INVENTORY.PNX, group: 0x100001e9, partId: 0x70000205
id: 0x420002e6, name: OICB064_INVENTORY.PNX, group: 0x100001ea, partId: 0x70000205
id: 0x420002e8, name: OICB065_INVENTORY.PNX, group: 0x100001eb, partId: 0x70000205
id: 0x420002ea, name: OICB066_INVENTORY.PNX, group: 0x100001ec, partId: 0x70000205
id: 0x420002ec, name: OICB067_INVENTORY.PNX, group: 0x100001ed, partId: 0x70000205
id: 0x420002ed, name: OIF001_INVENTORY.PNX, group: 0x100000f8, partId: 0x70000205
id: 0x420002ee, name: OIF002_INVENTORY.PNX, group: 0x100000f9, partId: 0x70000205
id: 0x420002ef, name: OIF003_INVENTORY.PNX, group: 0x100000fa, partId: 0x70000205
id: 0x420002f0, name: OIF004_INVENTORY.PNX, group: 0x100000fb, partId: 0x70000205
id: 0x420002f1, name: OIF005_INVENTORY.PNX, group: 0x100000fc, partId: 0x70000205
id: 0x420002f2, name: OIF006_INVENTORY.PNX, group: 0x100000fd, partId: 0x70000205
id: 0x420002f3, name: OIF007_INVENTORY.PNX, group: 0x100000fe, partId: 0x70000205
id: 0x420002f4, name: OIF008_INVENTORY.PNX, group: 0x100000ff, partId: 0x70000205
id: 0x420002f5, name: OIF009_INVENTORY.PNX, group: 0x10000100, partId: 0x70000205
id: 0x420002f6, name: OIF010_INVENTORY.PNX, group: 0x10000101, partId: 0x70000205
id: 0x420002f7, name: OIF011_INVENTORY.PNX, group: 0x10000102, partId: 0x70000205
id: 0x420002f8, name: OIF012_INVENTORY.PNX, group: 0x10000103, partId: 0x70000205
id: 0x4200033f, name: OIF013_INVENTORY.PNX, group: 0x10000104, partId: 0x70000205
id: 0x42000340, name: OIF014_INVENTORY.PNX, group: 0x10000105, partId: 0x70000205
id: 0x42000341, name: OIF015_INVENTORY.PNX, group: 0x10000106, partId: 0x70000205
id: 0x42000342, name: OIF016_INVENTORY.PNX, group: 0x10000107, partId: 0x70000205
id: 0x42000343, name: OIF017_INVENTORY.PNX, group: 0x10000108, partId: 0x70000205
id: 0x42000344, name: OIF018_INVENTORY.PNX, group: 0x10000109, partId: 0x70000205
id: 0x42000345, name: OIF019_INVENTORY.PNX, group: 0x1000010a, partId: 0x70000205
id: 0x42000346, name: OIF020_INVENTORY.PNX, group: 0x1000010b, partId: 0x70000205
id: 0x42000347, name: OIF021_INVENTORY.PNX, group: 0x1000010c, partId: 0x70000205
id: 0x42000348, name: OIF022_INVENTORY.PNX, group: 0x1000010d, partId: 0x70000205
id: 0x42000349, name: AXE001_DEFAULT.PNX, group: 0x10000115, partId: 0x74000007
id: 0x4200034a, name: AXE002_DEFAULT.PNX, group: 0x10000116, partId: 0x74000007
id: 0x4200034b, name: AXE003_DEFAULT.PNX, group: 0x10000117, partId: 0x74000007
id: 0x4200034c, name: AXE004_DEFAULT.PNX, group: 0x10000118, partId: 0x74000007
id: 0x4200034e, name: BOW001_DEFAULT.PNX, group: 0x1000011a, partId: 0x74000007
id: 0x4200034f, name: BOW002_DEFAULT.PNX, group: 0x1000011b, partId: 0x74000007
id: 0x42000350, name: BOW003_DEFAULT.PNX, group: 0x1000011c, partId: 0x74000007
